PEXT_tissue,cancer_tissue
Cells_Transformedfibroblasts,NA
Prostate,PRAD
Spleen,DLBC
Brain_FrontalCortex_BA9_,GBM;LGG
SmallIntestine_TerminalIleum,NA
MinorSalivaryGland,NA
Artery_Coronary,NA
Skin_SunExposed_Lowerleg_,SKCM
Cells_EBV_transformedlymphocytes,NA
Brain_Hippocampus,GBM;LGG
Esophagus_Muscularis,ESCA
Brain_Nucleusaccumbens_basalganglia_,GBM;LGG
Artery_Tibial,NA
Brain_Hypothalamus,GBM;LGG
Adipose_Visceral_Omentum_,NA
Cervix_Ectocervix,CESC
Brain_Spinalcord_cervicalc_1_,GBM;LGG
Brain_CerebellarHemisphere,GBM;LGG
Nerve_Tibial,NA
Breast_MammaryTissue,BRCA
Liver,LIHC
Skin_NotSunExposed_Suprapubic_,SKCM
AdrenalGland,ACC
Vagina,NA
Pancreas,PAAD
Lung,LUAD;LUSC
FallopianTube,NA
Pituitary,NA
Muscle_Skeletal,NA
Colon_Transverse,COADREAD
Artery_Aorta,NA
Heart_AtrialAppendage,NA
Adipose_Subcutaneous,NA
Esophagus_Mucosa,ESCA
Heart_LeftVentricle,NA
Brain_Cerebellum,GBM;LGG
Brain_Cortex,GBM;LGG
Thyroid,THCA
Brain_Substantianigra,GBM;LGG
Kidney_Cortex,KICH;KIRP;KIRC
Uterus,UCEC;UCS
Stomach,STAD
WholeBlood,DLBC
Bladder,BLCA
Brain_Anteriorcingulatecortex_BA24_,GBM;LGG
Brain_Putamen_basalganglia_,GBM;LGG
Brain_Caudate_basalganglia_,GBM;LGG
Colon_Sigmoid,COADREAD
Cervix_Endocervix,CESC
Ovary,OV
Esophagus_GastroesophagealJunction,ESCA
Testis,TGCT
Brain_Amygdala,GBM;LGG
